Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,1.3677474038568387e-07,1.0798942772646666e-07,1.4962663406120611e-07,7.406722626609401e-08,3.3479703895644674e-07,2.5161496826327445e-07,4.16418294786143e-07,7.012594026653797e-07,3.0275124482933863e-07,4.322006027715767e-06,-7.409646895695545e-07,8.461563096182818e-06,4.0117667852356305e-07,-7.529940206761917e-07,4.391794529777143e-07,6.288253741973871e-07,2.862996221741409e-06,-1.932095301293822e-06,-5.723182015768508e-07,-2.208370571357723e-06,-1.1318358954810836e-07,5.789819195238855e-07,-7.89950535687093e-07,5.3788857025885e-07,4.39207075688178e-08
2021-01-28,9.852344027759149e-08,5.988530083791844e-08,-9.785378018105731e-08,4.690285073949287e-09,5.494683461948385e-08,1.2215940315743824e-08,9.3916474610328e-08,1.3551179810973972e-07,2.14082587900672e-07,3.370696685159296e-06,-7.179302494537371e-07,1.7740769832696965e-06,9.991270169784942e-08,-6.614046603919569e-07,1.3121970655781572e-07,4.240788192829217e-07,6.933257362509964e-07,-1.2337384691442536e-06,-6.872374360630565e-07,-1.6501638329748864e-06,-3.0616512021445416e-07,-2.9303470044896767e-07,-1.4748445773600903e-06,1.9259634177917137e-07,-5.7761309652486975e-08
2021-01-29,2.5595137156473927e-07,5.809756326999988e-08,1.515575788584107e-07,5.0205364913562934e-08,1.3683719578764576e-07,1.699815555511088e-08,2.0771288002954193e-07,-1.0650530182928408e-07,1.3280679490782262e-07,5.1044676837800875e-06,-2.122309814684929e-06,3.6450157699507858e-06,-7.954211305669546e-08,-6.1339183973736e-07,1.301865629504271e-07,6.526377813841485e-07,1.131020694024805e-06,-9.69453923779854e-07,-8.48339132136739e-07,-1.5559109645664024e-06,-4.1735466303210423e-07,-1.5204490353658005e-07,-4.5737445005411555e-08,6.608258885611328e-07,-6.611960401585061e-08
2021-02-01,1.4733791059395328e-07,4.474807232576941e-09,-9.776204736792444e-08,1.6218514311013708e-08,6.710410388425309e-08,-1.2746619755884188e-07,8.412210371931067e-08,-3.7852087224765715e-07,-2.627777055375425e-08,3.024574242472647e-06,-2.209615712680628e-06,7.266079460684131e-07,-3.578569152670774e-07,-4.4719402809721834e-07,-6.8504622386062036e-09,7.647000487686787e-08,4.1980898471713115e-07,-1.2580318400621493e-06,-9.183668518299048e-07,-1.6201023081062377e-06,-7.751355483330007e-07,-4.2258439397733395e-07,-1.2971740294475705e-06,5.372136805711967e-07,-1.7632971689115192e-07
2021-02-02,2.737660920777683e-07,1.4897721975163159e-08,-1.3784304738339723e-08,6.048790465385966e-08,1.316083313300436e-07,-9.068398066314207e-08,1.62561962719664e-07,-6.350770967948739e-07,-5.998369466644986e-08,4.099704263303784e-06,-2.677879988651094e-06,2.780735215928123e-06,-4.246299418096921e-07,-6.115501298991652e-07,-4.8658038330772696e-08,1.673126518840008e-07,9.822388135538702e-08,-1.8507185291377442e-06,-1.0828306964829028e-06,-2.213859444149741e-06,-8.30296048639601e-07,-6.162595848096983e-07,-1.2183973205926576e-06,5.075529796240483e-07,-1.727260680436749e-07
